メーカー ,車種 ,グレード ,発売期間,型式,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,最高出力/回転数(ps/rpm),最大トルク/回転数(kg・m/rpm),ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式前,ブレーキ形式後,前タイヤ,後タイヤ,使用燃料,燃料タンク容量(L),JC08モード燃費(km/L),オートエアコン,エアフィルター,パワーウインドウ,シートリフター,フロントベンチシート,2列目シート,UVカットガラス,プライバシーガラス,アルミホイール,両側電動スライドドア,リアスポイラー,フロントフォグランプ,スピーカ数,ETC,運転席エアバッグ,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,クルーズコントロール,ESC（横滑り防止装置）,トラクションコントロール,ISOFIX対応チャイルドシート固定バー,パワーステアリング,盗難防止装置,セキュリティアラーム,キーレスエントリー,マニュアルモード,チップアップシート,ドアイージークローザー,アイドリングストップシステム,衝突軽減装置,レーンアシスト,車間距離自動制御システム,バックモニター,エンジンスタートボタン,前席シートヒーター,床下ラゲージボックス,オーディオソース_CD,オーディオソース_DVD,オーディオソース_AM/FMラジオ,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,フロントモニター,サイドモニター,ダウンヒルアシストコントロール,その他ナビゲーション,寒冷地仕様,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,テレマティクスサービス,高級サウンドシステム,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,サンルーフ,オーディオソース_HDD,ニーエアバッグ,シートポジションメモリー機能,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,10-15モード燃費(km/L),フロントスポイラー,ディスチャージヘッドライト,オーディオソース_カセット,ABS,バケットシート,高性能ブレーキ,LSD,4WS,後席シートヒーター,2列目ウォークスルー,3列目シート,オットマン機構,電動バックドア,リアエンターテイメントシステム,電気式4WD,AI-SHIFT,助手席ウォークスルー,大型ガラスルーフ,ルーフレール,HDDナビゲーション,ランフラットタイヤ,可変気筒装置,AYC(アクティブ・ヨー・コントロール),全長,全幅,全高,室内全長,室内全幅,室内全高,img1,img2,img3,"乗り心地判定(1:良い,2:その他)",フルフラットシート,マニュアルエアコン,両側スライドドア,抗菌仕様,ローダウン,ナイトビジョン,高性能サスペンション,片側スライドドア,ソフトトップ,メタルトップ,空気清浄機,エアサスペンション,センターデフロック,ハードトップ,キャンバストップ
ポルシェ,718ケイマン,GT4,2019年10月～,7BA-982L40,MR,2人,3ドア,DKD,水平対抗6気筒DOHC,ガソリン,,3995cc,,420ps/7600rpm,42.8kg・m/6800rpm,2484mm,1420kg,,5.3m,ストラット式,ストラット式,Vディスク式,Vディスク式,245/35ZR20,295/30ZR20,ハイオク,64L,,△,○,○,○,,,,,○,,○,,○,,○,○,○,,,,△,○,○,△,○,○,△,○,,,,○,,,△,△,△,△,,○,○,○,,△,,△,○,,,,,,△,○,△,,△,,○,△,,,,○,,○,,△,△,,,,○,,,○,△,△,○,,,,,,,,,,,,,○,,,,4456mm,1801mm,1269mm,,,,http://img.carsensorlab.net/CSphoto/catalog/PO/S020/PO_S020_F001_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S020/PO_S020_F001_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S020/PO_S020_F001_M006_3_L.jpg,2,,○,,,○,,,,,,,,,,
トヨタ,ハイエースバン,2.7 DX ワイド スーパーロング ハイルーフ GLパッケージ 4WD,2015年01月～2016年05月,CBF-TRH226K,4WD,6人,4ドア,2TR-FE,直列4気筒DOHC,ガソリン,H17☆☆☆,2693cc,,160ps/5200rpm,24.8kg・m/4000rpm,3110mm,1970kg,185mm,6.3m,ダブルウィッシュボーン,車軸式半楕円板ばね,Vディスク式,ドラム式,195/80R15,195/80R15,レギュラー,70L,9.3km/L,,,○,,,一括可倒,○,○,△,,,,○(2),,○,△,,,,,,,,,○,○,,○,○,,,,,,,△,,,,,,○,○,△,,,,,,,,△,,,,△,,△,,,,,,,,,,,,,,,,,,○,,,△,,,,,,,,,,可,,,,,,,5380mm,1880mm,2285mm,,,,http://img.carsensorlab.net/CSphoto/catalog/TO/S185/TO_S185_F002_M009_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S185/TO_S185_F002_M009_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S185/TO_S185_F002_M009_3_L.jpg,2,,○,,,,,,○,,,,,,,
三菱,デリカD：5,2.2 P ディーゼルターボ 4WD,2019年02月～2019年09月,3DA-CV1W,4WD,7人,5ドア,4N14,直列4気筒DOHC,ディーゼル,,2267cc,ターボ,145ps/3500rpm,38.7kg・m/2000rpm,2850mm,1950kg,185mm,5.6m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/55R18,225/55R18,軽油,64L,13.6km/L,○,,○,○,,分割可倒,○,○,○,○,,○,○(6),△,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,○,○,,,,○,○,,,○,,○,△,○,,,,,,,,,,,○,,,,,,,,,,,,,,,可,分割可倒,,○,△,,,,,,,,,,4800mm,1795mm,1875mm,2980mm,1505mm,1310mm,http://img.carsensorlab.net/CSphoto/catalog/MI/S089/MI_S089_F001_M013_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MI/S089/MI_S089_F001_M013_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MI/S089/MI_S089_F001_M013_3_L.jpg,2,,,,,,,,,,,,,,,
ホンダ,オデッセイ,2.0 ハイブリッド アブソルート EX ホンダ センシング,2017年11月～2019年09月,6AA-RC4,FF,7人,5ドア,LFA,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆,1993cc,,145ps/6200rpm,17.8kg・m/4000rpm,2900mm,1890kg,150mm,5.4m,ストラット式,車軸式,Vディスク式,ディスク式,215/55R17,215/55R17,レギュラー,55L,24.4km/L,○,○,○,○,,固定,○,○,○,○,○,○,○(6),○,○,○,○,○,,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,○,○,△,△,△,,○,,△,○,○,○,,△,,,○,△,△,,,△,,,○,,○,,,,,,,,,○,,,,,,,,,可,一括可倒,○,,△,,,可,,,,,,,4840mm,1820mm,1685mm,2935mm,1560mm,1305mm,http://img.carsensorlab.net/CSphoto/catalog/HO/S002/HO_S002_F005_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S002/HO_S002_F005_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S002/HO_S002_F005_M005_3_L.jpg,2,,,,,,,,,,,,,,,
ホンダ,フリード,1.5 ハイブリッド モデューロX ホンダセンシング,2020年05月～,6AA-GB7,FF,6人,5ドア,LEB,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1496cc,,110ps/6000rpm,13.7kg・m/5000rpm,2740mm,1430kg,135mm,5.2m,ストラット式,車軸式,Vディスク式,ディスク式,185/65R15,185/65R15,レギュラー,36L,,○,○,○,○,,固定,○,○,△,○,,○,○(4),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,,,△,△,△,,△,,△,,,,,△,,,,,,,,△,,,,,,,,,,,,,,,,,,,,,,,可,分割可倒,,,,,,可,,,,,,,4290mm,1695mm,1710mm,,,,http://img.carsensorlab.net/CSphoto/catalog/HO/S083/HO_S083_F002_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S083/HO_S083_F002_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S083/HO_S083_F002_M002_3_L.jpg,2,,,,,,,,,,,,,,,
マツダ,ロードスター,1.5 30周年記念車,2019年04月～2019年09月,5BA-ND5RC,FR,2人,2ドア,P5-VP,直列4気筒DOHC,ガソリン,H30☆☆☆☆,1496cc,,132ps/7000rpm,15.5kg・m/4500rpm,2310mm,1020kg,140mm,4.7m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,ディスク式,195/50R16,195/50R16,ハイオク,40L,,○,,○,,,,○,,○,,,,○(9),,○,○,○,,○,○,○,○,○,,○,○,,○,,,,△,○,○,,,○,○,,○,○,○,○,,,○,○,,,,,,○,,○,,,,,○,○,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,3915mm,1735mm,1235mm,940mm,1425mm,1055mm,http://img.carsensorlab.net/CSphoto/catalog/MA/S017/MA_S017_F004_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S017/MA_S017_F004_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S017/MA_S017_F004_M003_3_L.jpg,2,,,,,,,○,,手動,,,,,,
ポルシェ,718ボクスター,GTS PDK,2017年11月～2018年04月,ABA-982J2,MR,2人,2ドア,DJU,水平対抗4気筒DOHC,ガソリン,,2497cc,ターボ,365ps/6500rpm,43.8kg・m/5000rpm,2475mm,1430kg,,5.2m,ストラット式,ストラット式,Vディスク式,Vディスク式,235/35ZR20,265/35ZR20,ハイオク,64L,11.4km/L,△,○,○,○,,,,,○,,○,,○(6),,○,○,○,,,,△,○,○,△,○,○,△,○,○,,,○,,,,△,△,△,,○,○,○,,△,,△,△,,,,,,△,○,△,,△,,○,△,,,,○,,,,△,△,,,,,○,,○,△,△,○,,,,,,,,,,,,,○,,,,4385mm,1800mm,1270mm,,,,http://img.carsensorlab.net/CSphoto/catalog/PO/S019/PO_S019_F001_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S019/PO_S019_F001_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/PO/S019/PO_S019_F001_M003_3_L.jpg,2,,○,,,○,,,,電動,,,,,,
メルセデス・ベンツ,SLKクラス,SLK200 MT AMGスポーツパッケージ,2015年04月～2015年07月,CBA-172448,FR,2人,2ドア,271,直列4気筒DOHC,ガソリン,H17☆☆☆,1795cc,ターボ,184ps/5250rpm,27.5kg・m/4600rpm,2430mm,1460kg,115mm,4.8m,3リンク式,マルチリンク式,Vディスク式,ディスク式,225/40R18,245/35R18,ハイオク,70L,14.6km/L,○,○,○,○,,,,,○,,○,,○(8),○,○,○,○,○,○,,○,○,○,,,○,,○,,,,○,,,,,,○,,○,○,○,○,,,○,,,,,,,○,,○,,,○,○,,○,,,,,○,,,△,,,,○,○,,○,,,,,,,,,,,,,,,,○,,,,4150mm,1845mm,1295mm,,,,http://img.carsensorlab.net/CSphoto/catalog/ME/S007/ME_S007_F003_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S007/ME_S007_F003_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S007/ME_S007_F003_M005_3_L.jpg,2,,,,,,,,,,電動,,,,,
メルセデスＡＭＧ,Cクラス,C63 S,2019年10月～2020年03月,CBA-205087,FR,5人,4ドア,177,V型8気筒DOHC,ガソリン,H17☆☆☆,3982cc,ターボ,510ps/6250rpm,71.4kg・m/4500rpm,2840mm,1790kg,110mm,5.4m,4リンク式,マルチリンク式,Vディスク式,Vディスク式,245/35R19,265/35R19,ハイオク,66L,8.8km/L,○,○,○,○,,分割可倒,,○,○,,○,,○(5),○,○,○,○,○,,,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,○,,,,○,○,○,,○,○,,,,,,○,○,○,,,○,○,△,○,○,○,○,△,,○,○,,○,,,○,,,○,,△,○,,,,,,,,,,,△,,○,,,,4755mm,1840mm,1430mm,,,,http://img.carsensorlab.net/CSphoto/catalog/AM/S006/AM_S006_F001_M007_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AM/S006/AM_S006_F001_M007_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AM/S006/AM_S006_F001_M007_3_L.jpg,2,,,,,,,,,,,△,,,,
トヨタ,クラウンアスリート,2.0 G-T,2016年08月～2018年06月,DBA-ARS210,FR,5人,4ドア,8AR-FTS,直列4気筒DOHC,ガソリン,H17☆☆☆☆,1998cc,ターボ,235ps/5800rpm,35.7kg・m/4400rpm,2850mm,1630kg,135mm,5.2m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,ディスク式,215/55R17,215/55R17,ハイオク,65L,13.4km/L,○,○,○,○,,固定,○,○,○,,○,○,○(10),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,○,○,○,○,,○,,○,△,△,△,,○,△,○,○,○,,,△,○,,○,△,○,○,△,○,○,○,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,4895mm,1800mm,1450mm,1975mm,1510mm,1190mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S056/TO_S056_F004_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S056/TO_S056_F004_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S056/TO_S056_F004_M005_3_L.jpg,2,,,,,,,,,,,,,,,
トヨタ,カムリハイブリッド,2.5 レザーパッケージ,2015年10月～2017年07月,DAA-AVV50,FF,5人,4ドア,2AR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,2493cc,,160ps/5700rpm,21.7kg・m/4500rpm,2775mm,1550kg,150mm,5.5m,ストラット式,ストラット式,Vディスク式,ディスク式,215/55R17,215/55R17,レギュラー,65L,23.4km/L,○,○,○,○,,分割可倒,○,○,○,,,○,○(6),,○,○,○,○,○,○,○,○,○,○,○,○,,○,,,,○,△,△,△,○,○,○,,○,○,○,○,○,,○,,,,,○,△,,○,○,,,△,○,,,,○,○,△,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,4850mm,1825mm,1470mm,2080mm,1525mm,1210mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S221/TO_S221_F001_M007_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S221/TO_S221_F001_M007_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S221/TO_S221_F001_M007_3_L.jpg,2,,,,,,,,,,,,,,,
レクサス,LSハイブリッド,600hL エグゼクティブパッケージ 4WD,2013年09月～2014年03月,DAA-UVF46,4WD,5人,4ドア,2UR-FSE,V型8気筒DOHC,ハイブリッド,H17☆☆☆☆,4968cc,,394ps/6400rpm,53kg・m/4000rpm,3090mm,2370kg,130mm,5.9m,マルチリンク式,マルチリンク式,Vディスク式,Vディスク式,235/50R18,235/50R18,ハイオク,84L,11.6km/L,○,○,○,○,,固定,○,○,○,,,○,○(19),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,,○,○,○,○,○,,○,○,,,,,△,○,○,○,○,○,△,○,○,○,,○,○,△,○,○,○,○,○,○,,,,,,,,,,○,,,○,,○,,○,,,,○,,,,5210mm,1875mm,1475mm,2295mm,1600mm,1185mm,http://img.carsensorlab.net/CSphoto/catalog/LE/S006/LE_S006_F001_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/LE/S006/LE_S006_F001_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/LE/S006/LE_S006_F001_M006_3_L.jpg,2,,,,,,△,,,,,○,○,,,
トヨタ,ランドクルーザープラド,2.8 TX ディーゼルターボ 4WD,2019年10月～2020年07月,LDA-GDJ150W,4WD,5人,5ドア,1GD-FTV,直列4気筒DOHC,ディーゼル,,2754cc,ターボ,177ps/3400rpm,45.9kg・m/2400rpm,2790mm,2170kg,220mm,5.8m,ダブルウィッシュボーン,トレーリングリンク車軸式,Vディスク式,Vディスク式,265/65R17,265/65R17,軽油,87L,11.8km/L,○,○,○,○,,分割可倒,○,○,○,,○,○,○(6),△,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,○,○,○,△,○,,,△,△,△,○,△,,△,△,,,○,△,△,,,,,,△,△,,,,△,,△,△,○,,○,,,,,,,,,,,,,,,,,,,,,,△,,,,,4825mm,1885mm,1850mm,1825mm,1565mm,1240mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S152/TO_S152_F004_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S152/TO_S152_F004_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S152/TO_S152_F004_M006_3_L.jpg,2,,,,,,,,,,,,,○,,
ジープ,ラングラー,アンリミテッド ルビコン スカイワンタッチパワートップ 4WD,2019年10月～2019年10月,ABA-JL36L,4WD,5人,5ドア,G,V型6気筒DOHC,ガソリン,,3604cc,,284ps/6400rpm,35.4kg・m/4100rpm,3010mm,2040kg,200mm,6.2m,コイルリジッド,コイルリジッド,Vディスク式,ディスク式,255/75R17,255/75R17,レギュラー,81L,9km/L,○,,○,○,,分割可倒,,○,○,,,○,○(9),○,○,○,○,,,,○,○,○,,○,○,,○,○,,,○,○,,○,○,○,○,,,,○,○,○,,○,○,○,○,○,○,,,,○,,○,○,,○,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,4870mm,1895mm,1865mm,,,,http://img.carsensorlab.net/CSphoto/catalog/JE/S001/JE_S001_F004_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/JE/S001/JE_S001_F004_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/JE/S001/JE_S001_F004_M003_3_L.jpg,2,,,,,,,,,,,,,○,○,電動
トヨタ,ヤリスクロス,1.5 ハイブリッド Z,2020年08月～,6AA-MXPJ10,FF,5人,5ドア,M15A-FXE,直列3気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1490cc,,91ps/5500rpm,12.2kg・m/4800rpm,2560mm,1190kg,170mm,5.3m,ストラット式,トーションビーム式,Vディスク式,ディスク式,215/50R18,215/50R18,レギュラー,36L,31.3km/L,○,○,○,○,,分割可倒,○,○,○,,○,,○(6),,○,○,○,○,,○,○,○,○,○,○,○,○,○,,,,○,○,○,○,○,○,○,○,,,○,○,○,,,○,△,△,,,△,,○,,△,△,△,○,,,△,○,,,,,,,,,,,,,,,,,,,,,,△,,,,,,△,,,,,4180mm,1765mm,1590mm,1845mm,1430mm,1205mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S251/TO_S251_F001_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S251/TO_S251_F001_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S251/TO_S251_F001_M001_3_L.jpg,2,,,,,,,,,,,,,,,
マツダ,CX-5,2.2 XD エクスクルーシブ モード ディーゼルターボ 4WD,2019年12月～,3DA-KF2P,4WD,5人,5ドア,SH-VPTS,直列4気筒DOHC,ディーゼル,,2188cc,ターボ,190ps/4500rpm,45.9kg・m/2000rpm,2700mm,1690kg,210mm,5.5m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/55R19,225/55R19,軽油,58L,,○,○,○,○,,分割可倒,○,○,○,,○,○,○(10),,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,,,○,○,○,,○,○,,○,○,,,○,△,,,○,○,,,,,,,,,,,,○,,,,○,,,,,,,,,,,4545mm,1840mm,1690mm,1890mm,1540mm,1265mm,http://img.carsensorlab.net/CSphoto/catalog/MA/S087/MA_S087_F002_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S087/MA_S087_F002_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S087/MA_S087_F002_M006_3_L.jpg,2,,,,,,,,,,,,,,,
日産,エクストレイル,2.0 20Xi 2列車 4WD,2019年01月～2019年09月,DBA-NT32,4WD,5人,5ドア,MR20DD,直列4気筒DOHC,ガソリン,H17☆☆☆☆,1997cc,,147ps/6000rpm,21.1kg・m/4400rpm,2705mm,1540kg,,5.6m,ストラット式,マルチリンク式,Vディスク式,Vディスク式,225/60R18,225/60R18,レギュラー,60L,15.6km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(4),△,○,○,△,△,,○,○,○,○,○,○,○,,○,,,,○,○,○,○,○,○,△,○,△,△,△,○,○,○,△,○,○,○,○,△,○,,,,,,,△,,,△,,,△,△,,,,,,,,,,,,,,,△,,,,○,,,,,△,△,,,,,4690mm,1820mm,1740mm,2005mm,1535mm,1270mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S020/NI_S020_F003_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S020/NI_S020_F003_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S020/NI_S020_F003_M006_3_L.jpg,2,,,,,,,,,,,,,,,
スバル,レヴォーグ,2.0 STI スポーツ アイサイト 4WD,2019年10月～,DBA-VMG,4WD,5人,5ドア,FA20,水平対抗4気筒DOHC,ガソリン,H17☆☆☆☆,1998cc,ターボ,300ps/5600rpm,40.8kg・m/4800rpm,2650mm,1570kg,135mm,5.5m,ストラット式,ダブルウィッシュボーン,Vディスク式,Vディスク式,225/45R18,225/45R18,ハイオク,60L,13.2km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(6),,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,,○,○,○,○,○,○,○,,,,○,○,,,,○,○,,,,○,○,○,,,○,,,○,,,○,△,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,4690mm,1780mm,1490mm,2005mm,1490mm,1205mm,http://img.carsensorlab.net/CSphoto/catalog/SB/S052/SB_S052_F001_M007_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S052/SB_S052_F001_M007_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S052/SB_S052_F001_M007_3_L.jpg,2,,,,,,,○,,,,,,,,
