carID,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式後,使用燃料,燃料タンク容量(L),エアフィルター,2列目シート,アルミホイール,リアスポイラー,フロントフォグランプ,ETC,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,セキュリティアラーム,マニュアルモード,チップアップシート,ドアイージークローザー,レーンアシスト,車間距離自動制御システム,前席シートヒーター,床下ラゲージボックス,オーディオソース_DVD,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,サイドモニター,その他ナビゲーション,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,オーディオソース_HDD,ニーエアバッグ,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,ABS,2列目ウォークスルー,3列目シート,電動バックドア,リアエンターテイメントシステム,電気式4WD,HDDナビゲーション,全長(mm),全幅(mm),全高(mm),室内全長(mm),室内全幅(mm),室内全高(mm),マニュアルエアコン,片側スライドドア,最高出力(ps)
38,FF,6,5,LEB,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1496,,2740,1430,135,5.2,ストラット式,車軸式,ディスク式,レギュラー,36,○,固定,△,,○,○,○,○,○,○,○,○,,,○,○,○,,,△,,△,,△,,,△,,,,,,,,,,,,,,,,,可,分割可倒,,,,,4290,1695,1710,2339,1466,1299,,,110
39,FR,2,2,P5-VP,直列4気筒DOHC,ガソリン,H30☆☆☆☆,1496,,2310,1020,140,4.7,ダブルウィッシュボーン,マルチリンク式,ディスク式,ハイオク,40,,,○,,,,○,○,,○,○,,,,,○,,○,,○,○,,,○,○,,,○,,○,,,,○,,,,,,,,,,,,,,,,3915,1735,1235,940,1425,1055,,,132
40,MR,2,2,DJU,水平対抗4気筒DOHC,ガソリン,,2497,ターボ,2475,1430,150,5.2,ストラット式,ストラット式,Vディスク式,ハイオク,64,○,,○,○,,,○,○,,,,△,○,,,,,△,,○,,△,,△,△,,,△,○,△,,△,,,,,○,,,△,,,○,,,,,,○,4385,1800,1270,1336,1459,1068,○,,365
41,FR,2,2,271,直列4気筒DOHC,ガソリン,H17☆☆☆,1795,ターボ,2430,1460,115,4.8,3リンク式,マルチリンク式,ディスク式,ハイオク,70,○,,○,○,,○,○,○,○,○,,,,,,,,○,,○,○,,,○,,,,○,,○,,,○,○,,,,○,,△,,,○,,,,,,○,4150,1845,1295,904,1458,1045,,,184
42,FR,5,4,177,V型8気筒DOHC,ガソリン,H17☆☆☆,3982,ターボ,2840,1790,110,5.4,4リンク式,マルチリンク式,Vディスク式,ハイオク,66,○,分割可倒,○,○,,○,○,○,○,,,,○,,,○,○,○,,,○,○,,○,○,,,○,○,○,,,○,○,○,○,○,,○,,○,,○,,,,,,○,4755,1840,1430,1859,1515,1150,,,510
43,FR,5,4,8AR-FTS,直列4気筒DOHC,ガソリン,H17☆☆☆☆,1998,ターボ,2850,1630,135,5.2,ダブルウィッシュボーン,マルチリンク式,ディスク式,ハイオク,65,○,固定,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,,○,,○,△,△,○,○,○,○,,,△,○,△,○,○,○,○,○,○,,,,,,,,,4895,1800,1450,1975,1510,1190,,,235
44,FF,5,4,2AR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,2493,,2775,1550,150,5.5,ストラット式,ストラット式,ディスク式,レギュラー,65,○,分割可倒,○,,○,,○,○,○,○,○,,,,,△,△,○,,○,○,○,,○,,,○,,○,○,,,△,,,○,○,○,○,,,,,,,,,,,4850,1825,1470,2080,1525,1210,,,160
45,4WD,5,4,2UR-FSE,V型8気筒DOHC,ハイブリッド,H17☆☆☆☆,4968,,3090,2370,130,5.9,マルチリンク式,マルチリンク式,Vディスク式,ハイオク,84,○,固定,○,,○,○,○,○,○,○,○,○,○,,○,○,○,○,,○,○,○,,○,○,,,○,○,○,○,○,△,○,,○,○,○,○,○,○,○,,,,,○,,○,5210,1875,1475,2295,1600,1185,,,394
46,4WD,5,5,1GD-FTV,直列4気筒DOHC,ディーゼル,,2754,ターボ,2790,2170,220,5.8,ダブルウィッシュボーン,トレーリングリンク車軸式,Vディスク式,軽油,87,○,分割可倒,○,○,○,△,○,○,○,○,○,○,○,,,○,○,,,△,○,△,,△,△,,△,,,,,,△,,,△,,△,○,○,,,,,,,,,,4825,1885,1850,1825,1565,1240,,,177
47,4WD,5,5,G,V型6気筒DOHC,ガソリン,,3604,,3010,2040,200,6.2,コイルリジッド,コイルリジッド,ディスク式,レギュラー,81,,分割可倒,○,,○,○,○,○,,,,,○,,,,○,○,,,○,○,,○,○,○,○,,,○,,○,○,,,,,,,,,,○,,,,,,,4870,1895,1865,2438,1586,1329,,,284
48,FF,5,5,M15A-FXE,直列3気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1490,,2560,1190,170,5.3,ストラット式,トーションビーム式,ディスク式,レギュラー,36,○,分割可倒,○,○,,,○,○,○,,○,○,,,,○,○,○,○,,○,○,,,○,△,,,○,,△,△,△,,△,○,,,,,,,,,,△,,,,4180,1765,1590,1845,1430,1205,,,91
49,4WD,5,5,SH-VPTS,直列4気筒DOHC,ディーゼル,,2188,ターボ,2700,1690,210,5.5,ストラット式,マルチリンク式,ディスク式,軽油,58,○,分割可倒,○,○,○,,○,○,○,○,○,,○,,,○,○,○,○,○,○,○,,○,○,○,,○,○,○,,○,○,○,,,○,,,○,,,,,,○,,,,4545,1840,1690,1890,1540,1265,,,190
50,4WD,5,5,MR20DD,直列4気筒DOHC,ガソリン,H17☆☆☆☆,1997,,2705,1540,150,5.6,ストラット式,マルチリンク式,Vディスク式,レギュラー,60,,分割可倒,○,○,○,△,○,△,△,,○,,,,,○,○,△,○,△,○,○,○,△,○,○,△,,,,,,,,△,,,△,,,,,,,,○,,,,4690,1820,1740,2005,1535,1270,,,147
51,4WD,5,5,FA20,水平対抗4気筒DOHC,ガソリン,H17☆☆☆☆,1998,ターボ,2650,1570,135,5.5,ストラット式,ダブルウィッシュボーン,Vディスク式,ハイオク,60,,分割可倒,○,○,○,,○,○,○,,○,○,○,,,○,○,○,○,,○,○,,,,○,,○,○,○,,,○,○,,,○,,○,○,,,,,,,,,,4690,1780,1490,2005,1490,1205,,,300
